id,label,date_short,distance_sum_um,nearer_to_center_um,farther_to_center_um,tau,qc,pron_min_distance_um,transcript_total,spread_rms,spread_axis0,spread_axis1,spread_axis2,aniso_01,aniso_02,planarity,blobsep_p95,blobsep_p98,blobsep_p99,blobsep_p99,blobsep_p95_norm,blobsep_p98_norm,blobsep_p99_norm,blobsep_p99_norm,blob_count_p98,top2_massfrac_p98,principal_bimodality,dnavol_p95,dnavol_p98,dnavol_p99,dnavol_p99,radial_0,radial_1,radial_2,radial_3,radial_4,radial_5,radial_6,radial_7,radial_8,radial_9,intensity_cv,intensity_p90_over_p50,dna_extent_rms
20260407_zygote_p1_8_0,Z-P1_0-fov8_0,Apr 7,28.952,12.079,16.873,0.46495,pass,0.3,5984,83.78911013183911,70.84225637219257,38.199672383280735,23.29752601870042,1.8545251856315312,3.0407629236926743,0.21035674069908727,219.02012532247448,130.69505742498308,124.00798643314658,124.00798643314658,2.6139449668806525,1.5598095702356738,1.4800012168409873,1.4800012168409873,1646.0,0.9861575637842622,0.4977288678847505,0.049978268675017645,0.01999977990238273,0.004999663224127791,0.004999663224127791,0.7983620672024873,0.9999999999990031,0.864017264656722,0.6685554671895728,0.49955149464420695,0.4559125806356006,0.4325526306307081,0.4105486123342424,0.40931484540517415,0.4227330646028448,0.7630949020385742,1.3543426990509033,83.78911013183911
20260407_zygote_p1_8_1,Z-P1_0-fov8_1,Apr 7,36.4023,16.6311,19.7711,0.25284,pass,0.3,4192,83.78911013183911,70.84225637219257,38.199672383280735,23.29752601870042,1.8545251856315312,3.0407629236926743,0.21035674069908727,219.02012532247448,130.69505742498308,124.00798643314658,124.00798643314658,2.6139449668806525,1.5598095702356738,1.4800012168409873,1.4800012168409873,1646.0,0.9861575637842622,0.4977288678847505,0.049978268675017645,0.01999977990238273,0.004999663224127791,0.004999663224127791,0.7983620672024873,0.9999999999990031,0.864017264656722,0.6685554671895728,0.49955149464420695,0.4559125806356006,0.4325526306307081,0.4105486123342424,0.40931484540517415,0.4227330646028448,0.7630949020385742,1.3543426990509033,83.78911013183911
20260409_zygote_p2_9,Z-P2_0-fov9,Apr 9,16.5224,6.5446,9.9779,0.94486,caution,2.32,2661,100.39290706217115,72.42699814754661,60.28600773672943,34.621712824411404,1.2013898359706843,2.0919530013698835,0.35434706966162327,238.53014856082885,61.59535283807648,132.92142670245963,132.92142670245963,2.3759661231559535,0.6135428689836518,1.324012116674061,1.324012116674061,36868.0,0.7829468161663997,0.39164645010115706,0.049980721570149884,0.019990366088631986,0.004999596929664757,0.004999596929664757,0.9999999999996569,0.7734767380914511,0.672604195471181,0.6160769598478497,0.5820483737508801,0.552021738070091,0.5392029901199215,0.5156693124158205,0.5071059966386472,0.5005605202429994,0.17787779867649078,1.2292863130569458,100.39290706217115
20260425_zygote_p2_0,Z-P2_1-fov0,Apr 25,49.9763,22.558,27.4183,0.05248,pass,27.89,32782,112.87100042898956,83.5340634141698,71.74645503420952,24.78647166061709,1.1642953259508708,3.370147279846559,0.5621656710100971,145.49039517314756,135.27338037479984,133.94897849527516,133.94897849527516,1.2889971146812214,1.1984777193627034,1.186743953712029,1.186743953712029,8025.0,0.7435866446434887,0.4033954057436935,0.04478772626445281,0.018812123306600703,0.0049547071106981555,0.0049547071106981555,0.9999999999148015,0.9888703424812001,0.9848782209025357,0.9574256899124038,0.9458395931515036,0.9373341693438927,0.9244644913531195,0.9120684780416435,0.8993018271562203,0.8812237227316966,0.1660790890455246,1.046296238899231,112.87100042898956
20260425_zygote_p2_1,Z-P2_0-fov1,Apr 25,46.5122,20.9099,25.6023,0.109,pass,22.4,147176,101.57160835483205,75.41568186480521,60.26742850504674,31.57694750989964,1.2513505633833275,2.3883144326362555,0.3804312300212069,100.78009851813479,170.8660963762877,167.88260529562444,167.88260529562444,0.9922073614691662,1.6822229898847134,1.6528497122570973,1.6528497122570973,8627.0,0.6978808669296032,0.3460731054846573,0.04052487104827183,0.0199201305154684,0.004767091966956157,0.004767091966956157,0.9688524332952205,0.9999999999127765,0.9644545919225422,0.9412433964513083,0.9330120923686491,0.9260478286984128,0.9210541322914471,0.9116840889473707,0.9018602002454834,0.8883336787417466,0.0865832269191742,1.0377358198165894,101.57160835483205
20260425_zygote_p2_10,Z-P2_0-fov10,Apr 25,30.6959,14.2699,16.426,0.41432,pass,0.3,274612,102.53461050097535,70.84908834055348,69.09577353657666,26.82400252164624,1.0253751233810786,2.6412570473822146,0.5966452273188836,109.55757513977846,120.11996029085141,101.36376629120598,101.36376629120598,1.0684935899789927,1.171506465304243,0.988580975802905,0.988580975802905,4072.0,0.7442749083725404,0.3356614240724748,0.0481087164075843,0.019437366772617013,0.0048742885908266975,0.0048742885908266975,0.9788865094748436,0.999999999916358,0.9521362203847127,0.9193749924648664,0.9074954195306362,0.8975679738827781,0.8882643079160121,0.8827791308042013,0.8715326543626682,0.8647632249662561,0.13896115124225616,1.0467289686203003,102.53461050097535
20260425_zygote_p2_12,Z-P2_1-fov12,Apr 25,48.4927,22.3201,26.1727,0.0867,pass,19.76,315532,109.50543092484229,79.75513030766224,70.88569874222993,24.612523346236628,1.1251229881017648,3.240428701489824,0.5801905737887958,153.84120125434498,152.45129614149536,175.1499212286592,175.1499212286592,1.4048727862187878,1.392180218476545,1.5994633156542517,1.5994633156542517,6990.0,0.693934510004324,0.4142963577064431,0.04181636721504518,0.01927947700847148,0.00497634853437037,0.00497634853437037,0.9865625141633692,0.9999999999151183,0.9875083279996678,0.9463768561886057,0.9346472103883023,0.9291744420561037,0.9115710365319987,0.8957391296379484,0.8878247304211233,0.8706282741710546,0.1623954027891159,1.0654205083847046,109.50543092484229
20260425_zygote_p2_13,Z-P2_1-fov13,Apr 25,72.8928,27.8997,44.9931,0.0,out-of-domain,25.05,358432,111.24236412100153,78.64745114408518,74.40737319729439,25.553567610937936,1.0569846334793114,3.077748252759537,0.6211746757778548,164.1328759729999,157.8794452233437,227.90813767137772,227.90813767137772,1.4754529517101496,1.4192384803362792,2.0487530755344463,2.0487530755344463,6631.0,0.7482827969630806,0.38871121812115966,0.03972304367003515,0.01955382626265076,0.004967759331200853,0.004967759331200853,0.9957707614308999,0.9999999999131437,0.9892284365762266,0.9622840219538917,0.9497821168030492,0.9382089318008803,0.9277364938832362,0.9168290849305659,0.903286602363054,0.8874677448724428,0.14337854087352753,1.0467289686203003,111.24236412100153
20260425_zygote_p2_14,Z-P2_0-fov14,Apr 25,31.6851,11.3215,20.3636,0.38418,pass,2.06,338834,112.96136585226323,82.71234185003672,74.50124596511161,19.196432755526864,1.1102141939821533,4.3087347839399035,0.6686403903448395,175.09798466690378,176.96392801737488,184.173505188864,184.173505188864,1.5500696348328191,1.5665880552668732,1.630411443495861,1.630411443495861,3693.0,0.8854527715730828,0.48510418498189856,0.0497158236869003,0.019678874955854023,0.004994874266696779,0.004994874266696779,0.999999999929453,0.9676949913227396,0.9306825135340754,0.8737678967660832,0.8447390417076098,0.8285003667454492,0.8013459522638049,0.7767101861136575,0.7541100066692953,0.733187867593158,0.2550397217273712,1.1504424810409546,112.96136585226323
20260425_zygote_p2_16,Z-P2_1-fov16,Apr 25,50.3805,25.0969,25.2835,0.05248,pass,22.99,268890,105.15881686585638,90.11136618447073,51.07929695342663,18.144527321994502,1.7641465289251428,4.966310756904008,0.3654896231239061,132.03267513160208,134.93770580204293,144.46259294313228,144.46259294313228,1.2555549578355547,1.2831801321138219,1.373756341835384,1.373756341835384,2039.0,0.8784950562130804,0.4348465902189408,0.049724833929440874,0.019886110534287172,0.00498165363044566,0.00498165363044566,0.99999999995101,0.7592363585730644,0.6646443550756806,0.6101763111018935,0.5866532221033718,0.5690091766967136,0.5506059047988477,0.5322747319460043,0.5204966483967577,0.5113120000144202,0.3023947477340698,1.2053571939468384,105.15881686585638
